timestamp,fairBasis
2020-12-07 06:06:00.473481096+00:00,3.05
2020-12-07 06:06:30.497646014+00:00,3.06
2020-12-07 06:07:00.486977716+00:00,3.05
2020-12-07 06:08:00.488430033+00:00,3.04
2020-12-07 06:09:00.477731373+00:00,3.03
2020-12-07 06:10:00.455349289+00:00,3.02
2020-12-07 06:11:00.471046742+00:00,3.01
2020-12-07 06:11:15.470562516+00:00,3.02
2020-12-07 06:11:20.480636500+00:00,3.01
2020-12-07 06:13:00.470891396+00:00,3.0
2020-12-07 06:14:00.464118488+00:00,2.99
2020-12-07 06:15:00.454672055+00:00,2.98
2020-12-07 06:16:00.494373325+00:00,2.97
2020-12-07 06:18:00.508519213+00:00,2.96
2020-12-07 06:19:00.502686902+00:00,2.95
2020-12-07 06:20:00.471540649+00:00,2.94
2020-12-07 06:20:05.504578427+00:00,2.95
2020-12-07 06:21:00.481025006+00:00,2.94
2020-12-07 06:22:00.501939682+00:00,2.93
2020-12-07 06:23:00.493154024+00:00,2.92
2020-12-07 06:24:00.500541982+00:00,2.91
2020-12-07 06:25:00.478379714+00:00,2.9
2020-12-07 06:26:15.528546769+00:00,2.89
2020-12-07 06:26:20.502612938+00:00,2.9
2020-12-07 06:26:30.497837268+00:00,2.89
2020-12-07 06:26:35.477973271+00:00,2.9
2020-12-07 06:26:40.500743695+00:00,2.89
2020-12-07 06:26:45.489962962+00:00,2.9
2020-12-07 06:27:00.504930162+00:00,2.89
2020-12-07 06:27:50.512106182+00:00,2.88
2020-12-07 06:29:00.479540942+00:00,2.87
2020-12-07 06:30:00.475273785+00:00,2.86
2020-12-07 06:31:00.501869855+00:00,2.85
2020-12-07 06:32:00.470363854+00:00,2.84
2020-12-07 06:33:00.499961562+00:00,2.83
2020-12-07 06:34:00.514394411+00:00,2.82
2020-12-07 06:35:00.521152867+00:00,2.81
2020-12-07 06:36:00.494500267+00:00,2.8
2020-12-07 06:37:20.473391943+00:00,2.79
2020-12-07 06:37:25.499012144+00:00,2.8
2020-12-07 06:37:40.504575857+00:00,2.79
2020-12-07 06:37:55.484365119+00:00,2.8
2020-12-07 06:38:00.519008108+00:00,2.79
2020-12-07 06:39:00.477894003+00:00,2.78
2020-12-07 06:40:00.514025390+00:00,2.77
2020-12-07 06:41:00.505898693+00:00,2.76
2020-12-07 06:42:00.499521072+00:00,2.75
2020-12-07 06:43:00.485807302+00:00,2.74
2020-12-07 06:44:01.162174743+00:00,2.73
2020-12-07 06:45:00.486485235+00:00,2.72
2020-12-07 06:45:20.474809123+00:00,2.73
2020-12-07 06:46:00.482384974+00:00,2.72
2020-12-07 06:47:00.485135348+00:00,2.71
2020-12-07 06:48:00.469540187+00:00,2.7
2020-12-07 06:49:00.471909096+00:00,2.69
2020-12-07 06:50:00.479020257+00:00,2.68
2020-12-07 06:51:10.481181635+00:00,2.67
2020-12-07 06:51:40.484078620+00:00,2.68
2020-12-07 06:52:00.498209844+00:00,2.67
2020-12-07 06:53:00.494807221+00:00,2.66
2020-12-07 06:54:00.468012033+00:00,2.65
